name,type,latitude,longitude
Vima Tofi,LOG,46.426934,25.236846
Comtrans,LOG,47.241225,25.018302
PMV Distribution,LOG,46.209617,26.659672
OS Brates,LOG,46.936697,26.092058
Formont,LOG,46.062466,23.584078
Forest Funghi,LOG,45.424484,22.661969
Tuc Bagiu,LOG,47.315868,24.835398
Iogab,LOG,47.208503,24.860912
Costi Nic ,LOG,45.311881,23.076275
Bogdan Pibb,LOG,45.357055,25.166075
Gabmaer,LOG,47.5372358,25.5100333
Lacela Prod Com,LOG,47.689956,25.240969
Productie Kreivin,LOG,45.942567,26.22322
Edy Trans,LOG,45.865999,25.815418
1Vag Oil International Candesti,LOG,45.54315,27.09187
OS Vama Depozit Dragosa,LOG,47.61841,25.61239
OS Vatra Dornei Dep Colbu,LOG,47.421391,25.515487
OCSI FOREST Lapusna,LOG,46.76961,25.21494
REAL DOC FOREST,LOG,45.971473,23.558228
Denudor,LOG,45.952627,26.523968
ProiectArt 2007,LOG,45.798709,26.6261533
Carlexim Polovragi,LOG,45.16701,23.793767
OS Gura Raului,LOG,45.716324,23.941544
OS Lignum,LOG,46.354765,26.437535
Carpatkub,LOG,45.8479,26.164928
Robifor,LOG,46.540884,26.204042
Trans Carpat,LOG,46.262791,26.76363
Dacocip,LOG,47.092424,25.980055
Matvis,LOG,45.051989,25.9005737
Impero Forest,LOG,45.402293,24.298376
Arcom Tondy,LOG,46.19632,26.05558
Marsik Wood Srl,LOG,45.640087,26.09608
Abies Forte Srl,LOG,46.453218,25.769871
Pomisoul,LOG,47.727975,24.459862
Alfadin  Bistra,LOG,46.961118,24.90582
Moiseflar Carlibaba,LOG,47.556879,25.160116
Bradul C M,LOG,47.872754,25.394717
Affor Alpin,LOG,45.511695,25.363324
Eldo Turism depozit Mestecanis,LOG,47.451862,25.3392722
OS Stulpicani,LOG,47.456704,25.70221
Gyorgy L. Tibor SRL,LOG,46.438563,25.743239
Codrii Zarandului OSP,LOG,46.403272,22.249612
Vor Zakone 1,LOG,47.685557,24.714738
Hingan Explocom,LOG,47.023898,25.491837
Cargo Razella,LOG,45.376073,26.170059
Alex and Vali,LOG,47.3784,25.3256
Explosiv Group Covasna,LOG,45.858604,26.15417
Sirva Tour SRL,LOG,46.205426,26.874521
Tutu Company SRL,LOG,46.4167,26.456246
Rabin Consul Impex,LOG,47.184179,25.790168
After Center,LOG,46.739931,25.528426
Alexforcam Dep. Stulpicani,LOG,47.452285,25.73048
Cosminel Com,LOG,47.331918,25.465212
Bradutul Polec ,LOG,47.730027,25.52005
Sentaru Forest,LOG,47.836273,23.388335
Alexforcam Dep. Sant 1,LOG,47.44056,24.86072
Alexforcam Dep Sant 2,LOG,47.4406,24.86468
Benedek Forest Armaseni,LOG,46.356512,25.964363
Logyard,LOG,47.777631,24.276621
Explo Cheia Rucar,LOG,45.70827,25.204535
Ambrus J Csaba Tomesti,LOG,46.552829,25.783441
Crund Silva,LOG,47.89505,25.606033
OS Cindrel Orlat,LOG,45.76269,23.962981
OS Cindrel Cristian,LOG,45.792978,24.043638
VCM Prod Impex,LOG,47.458085,23.834457
Ratnyk Asau,LOG,46.45169,26.4008
Nastititi,LOG,47.399367,25.759489
Cascade Empire,LOG,47.209265,25.275769
Comert Tutti,LOG,45.829821,26.122299
Liliodendron,LOG,47.366818,24.66708
Vecovas Srl,LOG,47.540368,25.508346
Petrovel 2,LOG,47.180812,25.782691
Lacusta Prod Com,LOG,47.466777,26.155827
TRANSILIS FOREST,LOG,47.456999,26.093522
Moldotour Forest,LOG,47.545338,24.441932
Tudforest 2009,LOG,45.756308,24.825451
Sabyval Wood 1,LOG,47.44056,24.86072
Sabyval Wood 2,LOG,47.4406,24.86468
Rapid Forest Bancu,LOG,46.299073,25.943244
Forest Elaviv,LOG,47.695982,24.695854
Edrom Gold,LOG,46.757859,25.517488
A&D Bentea Forest Dumitresti,LOG,45.559873,26.884831
Adorjan Fenyo,LOG,46.355518,25.961868
God Star,LOG,47.544662,24.443858
Relvam Forest Srl,LOG,47.548668,25.942981
Romforest,LOG,45.718301,27.054374
